07-03 09:41:44 [http-nio-9090-exec-1] | INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]   - Initializing Spring DispatcherServlet 'dispatcherServlet' 
07-03 09:41:44 [http-nio-9090-exec-1] | INFO  | org.springframework.web.servlet.DispatcherServlet   - Initializing Servlet 'dispatcherServlet' 
07-03 09:41:44 [http-nio-9090-exec-1] | INFO  | org.springframework.web.servlet.DispatcherServlet   - Completed initialization in 9 ms 
07-03 09:41:45 [http-nio-9090-exec-1] | INFO  | com.alibaba.druid.pool.DruidDataSource   - {dataSource-1} inited 
07-03 09:41:45 [Druid-ConnectionPool-Log-536779070] | INFO  | com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl   - {"url":"jdbc:sqlserver://10.132.56.70:3000;DatabaseName=ShiLeiluo","dbType":"sqlserver","name":"DataSource-536779070","activeCount":0,"poolingCount":0,"connectCount":0,"closeCount":0} 
07-03 09:41:45 [Druid-ConnectionPool-Create-536779070] | INFO  | com.fox.component.DbPasswordCallback   - Druid Compont dbpassword: *** 
07-03 09:41:45 [Druid-ConnectionPool-Create-536779070] | INFO  | com.fox.component.DbPasswordCallback   - Druid Compont dbpassword: *** 
07-03 09:41:45 [Druid-ConnectionPool-Create-536779070] | INFO  | com.fox.component.DbPasswordCallback   - Druid Compont dbpassword: *** 
07-03 09:41:45 [Druid-ConnectionPool-Create-536779070] | INFO  | com.fox.component.DbPasswordCallback   - Druid Compont dbpassword: *** 
07-03 09:41:45 [Druid-ConnectionPool-Create-536779070] | INFO  | com.fox.component.DbPasswordCallback   - Druid Compont dbpassword: *** 
07-03 09:41:46 [http-nio-9090-exec-1] | INFO  | com.alibaba.druid.pool.DruidDataSource   - {dataSource-2} inited 
07-03 09:41:46 [Druid-ConnectionPool-Log-1752371494] | INFO  | com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl   - {"url":"jdbc:sqlserver://10.132.56.47:3000;DatabaseName=activiti","dbType":"sqlserver","name":"DataSource-1752371494","activeCount":0,"poolingCount":0,"connectCount":0,"closeCount":0} 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin   - Application shutdown requested. 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | org.apache.coyote.http11.Http11NioProtocol   - Pausing ProtocolHandler ["http-nio-9090"] 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | org.apache.catalina.core.StandardService   - Stopping service [Tomcat] 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]   - Destroying Spring FrameworkServlet 'dispatcherServlet' 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | org.apache.coyote.http11.Http11NioProtocol   - Stopping ProtocolHandler ["http-nio-9090"] 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | org.apache.coyote.http11.Http11NioProtocol   - Destroying ProtocolHandler ["http-nio-9090"] 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler   - Shutting down ExecutorService 'Nacos-Watch-Task-Scheduler' 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | com.alibaba.cloud.nacos.registry.NacosServiceRegistry   - De-registering from Nacos Server now... 
07-03 09:42:02 [RMI TCP Connection(2)-127.0.0.1] | INFO  | com.alibaba.cloud.nacos.registry.NacosServiceRegistry   - De-registration finished. 
07-03 09:42:03 [RMI TCP Connection(2)-127.0.0.1] | INFO  | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor   - Shutting down ExecutorService 'applicationTaskExecutor' 
07-03 09:42:03 [RMI TCP Connection(2)-127.0.0.1] | INFO  | com.alibaba.druid.pool.DruidDataSource   - {dataSource-2} closed 
07-03 09:42:03 [RMI TCP Connection(2)-127.0.0.1] | INFO  | com.alibaba.druid.pool.DruidDataSource   - {dataSource-1} closed 
07-03 09:43:04 [restartedMain] | INFO  | org.reflections.Reflections   - Reflections took 40 ms to scan 1 urls, producing 3 keys and 6 values  
07-03 09:43:04 [restartedMain] | INFO  | org.reflections.Reflections   - Reflections took 24 ms to scan 1 urls, producing 4 keys and 9 values  
07-03 09:43:04 [restartedMain] | INFO  | org.reflections.Reflections   - Reflections took 17 ms to scan 1 urls, producing 3 keys and 10 values  
07-03 09:43:04 [restartedMain] | INFO  | org.reflections.Reflections   - Reflections took 102 ms to scan 120 urls, producing 0 keys and 0 values  
07-03 09:43:04 [restartedMain] | INFO  | org.reflections.Reflections   - Reflections took 11 ms to scan 1 urls, producing 1 keys and 5 values  
07-03 09:43:04 [restartedMain] | INFO  | org.reflections.Reflections   - Reflections took 11 ms to scan 1 urls, producing 1 keys and 7 values  
07-03 09:43:04 [restartedMain] | INFO  | org.reflections.Reflections   - Reflections took 11 ms to scan 1 urls, producing 2 keys and 8 values  
07-03 09:43:04 [restartedMain] | INFO  | org.reflections.Reflections   - Reflections took 75 ms to scan 120 urls, producing 0 keys and 0 values  
07-03 09:43:05 [restartedMain] | INFO  | org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration   - Located property source: [BootstrapPropertySource {name='bootstrapProperties-microservice-activiti.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-microservice-activiti,DEFAULT_GROUP'}] 
07-03 09:43:05 [restartedMain] | INFO  | com.fox.ActivitiApplication_9090   - No active profile set, falling back to default profiles: default 
07-03 09:43:06 [restartedMain] | INFO  | org.springframework.cloud.context.scope.GenericScope   - BeanFactory id=8613c316-12e1-385b-8ec1-f53eb2365916 
07-03 09:43:06 [restartedMain] | INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer   - Tomcat initialized with port(s): 9090 (http) 
07-03 09:43:06 [restartedMain] | INFO  | org.apache.coyote.http11.Http11NioProtocol   - Initializing ProtocolHandler ["http-nio-9090"] 
07-03 09:43:06 [restartedMain] | INFO  | org.apache.catalina.core.StandardService   - Starting service [Tomcat] 
07-03 09:43:06 [restartedMain] | INFO  | org.apache.catalina.core.StandardEngine   - Starting Servlet engine: [Apache Tomcat/9.0.46] 
07-03 09:43:06 [restartedMain] | INFO  | org.apache.catalina.core.AprLifecycleListener   - Loaded Apache Tomcat Native library [1.2.36] using APR version [1.7.2]. 
07-03 09:43:06 [restartedMain] | INFO  | org.apache.catalina.core.AprLifecycleListener   - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true]. 
07-03 09:43:06 [restartedMain] | INFO  | org.apache.catalina.core.AprLifecycleListener   - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true] 
07-03 09:43:06 [restartedMain] | INFO  | org.apache.catalina.core.AprLifecycleListener   - OpenSSL successfully initialized [OpenSSL 1.1.1t  7 Feb 2023] 
